"StichtagDat","StichtagDatJahr","StichtagDatMM","DatenstandCd","HundenameText","GebHundDatJahr","SexHundCd","SexHundLang","SexHundSort","AnzHunde"
2024-12-31,2024,12,"D","Shila",2015,"2","weiblich",2,1
2024-12-31,2024,12,"D","Ramon",2014,"1","männlich",1,1
2024-12-31,2024,12,"D","Narvick du domaine de Sainte Mathilde",2017,"1","männlich",1,1
2024-12-31,2024,12,"D","Theo",2019,"1","männlich",1,3
2024-12-31,2024,12,"D","Pipo",2020,"1","männlich",1,1
2024-12-31,2024,12,"D","Mister Mini",2013,"1","männlich",1,1
2024-12-31,2024,12,"D","Ruby",2012,"1","männlich",1,1
2024-12-31,2024,12,"D","Mahali",2009,"2","weiblich",2,1
2024-12-31,2024,12,"D","Stewart",2021,"1","männlich",1,1
2024-12-31,2024,12,"D","Nylah",2019,"2","weiblich",2,1
2024-12-31,2024,12,"D","Tyrion",2019,"1","männlich",1,1
2024-12-31,2024,12,"D","Zero",2013,"1","männlich",1,1
2024-12-31,2024,12,"D","Millie",2020,"2","weiblich",2,1
2024-12-31,2024,12,"D","Priscilla",2014,"2","weiblich",2,1
2024-12-31,2024,12,"D","Lumi",2019,"2","weiblich",2,1
2024-12-31,2024,12,"D","Rocca",2014,"2","weiblich",2,1
2024-12-31,2024,12,"D","Moïra de la Foret du Spessart",2022,"2","weiblich",2,1
2024-12-31,2024,12,"D","Sara (Camila)",2010,"2","weiblich",2,1
2024-12-31,2024,12,"D","Loki",2017,"1","männlich",1,1
2024-12-31,2024,12,"D","Slash",2012,"1","männlich",1,1
2024-12-31,2024,12,"D","Nikki",2020,"1","männlich",1,1
2024-12-31,2024,12,"D","TUNA",2021,"2","weiblich",2,1
2024-12-31,2024,12,"D","Mary",2020,"2","weiblich",2,1
2024-12-31,2024,12,"D","Tofik",2015,"1","männlich",1,1
2024-12-31,2024,12,"D","Oskar",2011,"1","männlich",1,1
2024-12-31,2024,12,"D","Victoria-Emma",2022,"2","weiblich",2,1
2024-12-31,2024,12,"D","Yogi",2021,"1","männlich",1,1
2024-12-31,2024,12,"D","Pepita",2013,"2","weiblich",2,1
2024-12-31,2024,12,"D","pippo",2017,"1","männlich",1,1
2024-12-31,2024,12,"D","Lucy",2019,"2","weiblich",2,3
2024-12-31,2024,12,"D","Pollock",2020,"1","männlich",1,1
2024-12-31,2024,12,"D","Mingo",2016,"1","männlich",1,1
2024-12-31,2024,12,"D","Queue à l'Ombre du Vieux Chêne",2019,"2","weiblich",2,1
2024-12-31,2024,12,"D","Lino",2021,"1","männlich",1,1
2024-12-31,2024,12,"D","Ricci v. Holzwäldli",2013,"1","männlich",1,1
2024-12-31,2024,12,"D","Moly",2021,"2","weiblich",2,1
2024-12-31,2024,12,"D","Rookie",2020,"1","männlich",1,1
2024-12-31,2024,12,"D","Luz",2020,"1","männlich",1,1
2024-12-31,2024,12,"D","Sally",2016,"2","weiblich",2,1
2024-12-31,2024,12,"D","N`Murphy",2023,"1","männlich",1,1
2024-12-31,2024,12,"D","Semy",2017,"1","männlich",1,1
2024-12-31,2024,12,"D","Levi",2023,"1","männlich",1,2
2024-12-31,2024,12,"D","Simply Silkie-Sly Redsky",2015,"2","weiblich",2,1
2024-12-31,2024,12,"D","Neo from Rhin-Valley",2016,"1","männlich",1,1
2024-12-31,2024,12,"D","Soris",2008,"2","weiblich",2,1
2024-12-31,2024,12,"D","Mambo",2023,"1","männlich",1,1
2024-12-31,2024,12,"D","Superplush Black Zora",2020,"2","weiblich",2,1
2024-12-31,2024,12,"D","Nola v. Sonnenhof",2014,"2","weiblich",2,1
2024-12-31,2024,12,"D","Tea",2009,"2","weiblich",2,1
2024-12-31,2024,12,"D","Lotta (Laya)",2020,"2","weiblich",2,1
2024-12-31,2024,12,"D","Timberfox Corniola",2022,"2","weiblich",2,1
2024-12-31,2024,12,"D","Olivia",2024,"2","weiblich",2,1
2024-12-31,2024,12,"D","Traveller Spirit v. Wengerhof",2010,"2","weiblich",2,1
2024-12-31,2024,12,"D","Maxi",2021,"2","weiblich",2,1
2024-12-31,2024,12,"D","Urmel",2022,"1","männlich",1,1
2024-12-31,2024,12,"D","Pablo",2023,"1","männlich",1,2
2024-12-31,2024,12,"D","Wanda vom Rassel-Team",2017,"2","weiblich",2,1
2024-12-31,2024,12,"D","Xena",2014,"2","weiblich",2,1
2024-12-31,2024,12,"D","Peaches",2022,"2","weiblich",2,1
2024-12-31,2024,12,"D","Yuri",2023,"1","männlich",1,1
2024-12-31,2024,12,"D","Mia (Alma)",2022,"2","weiblich",2,1
2024-12-31,2024,12,"D","Zorro",2018,"1","männlich",1,2
2024-12-31,2024,12,"D","Piccolo",2011,"1","männlich",1,1
2024-12-31,2024,12,"D","Pink Pinkily",2013,"2","weiblich",2,1
2024-12-31,2024,12,"D","Lily Van Freudenberg",2014,"2","weiblich",2,1
2024-12-31,2024,12,"D","Piuma",2024,"2","weiblich",2,1
2024-12-31,2024,12,"D","Milou",2020,"2","weiblich",2,2
2024-12-31,2024,12,"D","Poppy",2019,"2","weiblich",2,1
